feature,mean_abs_shap
numeric__max_educacion_padres,7.0433836
numeric__edad_estudiante_aprox,7.019018
binary__estu_genero,4.1994996
numeric__pct_internet_mcpio,4.1990066
nominal_low__cole_jornada_COMPLETA,3.9597034
numeric__pct_oficial_mcpio,2.265868
numeric__capital_tecnologico,2.263306
ordinal__fami_educacionmadre,2.206805
nominal_low__cole_jornada_SABATINA,2.0149498
numeric__pct_estrato_alto_mcpio,2.0063512
numeric__anio_periodo,1.9097676
nominal_low__cole_jornada_NOCHE,1.8823113
numeric__extra_edad,1.5273033
numeric__indice_socioeconomico,1.2700962
ordinal__fami_educacionpadre,1.253792
numeric__min_educacion_padres,1.236425
numeric__n_estudiantes_mcpio,1.1302766
nominal_low__periodo_20162,1.1276377
numeric__fami_cuartos_num,1.076721
numeric__pct_calendario_b_depto,1.0666325
ordinal__fami_estratovivienda,1.0231261
numeric__fami_personashogar_num,0.98150694
nominal_low__cole_area_ubicacion_RURAL,0.9780699
binary__fami_tienecomputador,0.944009
nominal_low__cole_naturaleza_NO OFICIAL,0.92761624
numeric__hacinamiento,0.9159499
numeric__padres_universitarios,0.78850245
nominal_low__cole_calendario_B,0.77450603
binary__fami_tieneautomovil,0.7023043
binary__cole_bilingue,0.6880405
numeric__brecha_educativa_padres,0.6601778
nominal_low__cole_jornada_MAÑANA,0.5863997
nominal_low__periodo_20194,0.57150227
nominal_low__estu_tipodocumento_TI,0.5205768
nominal_low__periodo_20172,0.5137821
nominal_low__cole_area_ubicacion_URBANO,0.45628712
nominal_low__estu_depto_presentacion_ATLANTICO,0.4306829
nominal_low__cole_genero_MIXTO,0.41171408
nominal_low__cole_caracter_TÉCNICO/ACADÉMICO,0.3998633
nominal_low__cole_jornada_UNICA,0.37705258
nominal_low__cole_caracter_ACADÉMICO,0.3551968
nominal_low__cole_depto_ubicacion_SANTANDER,0.28792498
nominal_low__cole_depto_ubicacion_NARIÑO,0.28295448
nominal_low__cole_jornada_TARDE,0.28234935
nominal_low__cole_naturaleza_OFICIAL,0.2795934
nominal_low__estu_depto_presentacion_BOGOTÁ,0.2751429
nominal_low__estu_depto_presentacion_SANTANDER,0.24921545
nominal_low__cole_genero_FEMENINO,0.24767236
numeric__proxy_riqueza_total,0.22990926
nominal_low__estu_depto_reside_SANTANDER,0.21776494
binary__fami_tienelavadora,0.205203
nominal_low__estu_depto_reside_ATLANTICO,0.2014577
nominal_low__estu_depto_reside_CUNDINAMARCA,0.20105976
binary__fami_tieneinternet,0.1984765
nominal_low__periodo_20142,0.19780435
nominal_low__cole_caracter_TÉCNICO,0.18729763
numeric__presenta_donde_reside_mcpio,0.18459523
nominal_low__estu_tipodocumento_CC,0.18237318
nominal_low__estu_depto_presentacion_CESAR,0.18226548
nominal_low__cole_calendario_A,0.17981696
binary__cole_sede_principal,0.172395
nominal_low__estu_depto_reside_BOLIVAR,0.16438031
nominal_low__estu_depto_reside_ANTIOQUIA,0.16404586
nominal_low__cole_depto_ubicacion_BOLIVAR,0.16339053
nominal_low__estu_depto_presentacion_MAGDALENA,0.16063915
nominal_low__estu_depto_reside_NARIÑO,0.15707934
nominal_low__cole_caracter_None,0.14745389
nominal_low__estu_depto_presentacion_BOYACA,0.13925566
nominal_low__periodo_20224,0.13920692
nominal_low__periodo_20152,0.13782929
nominal_low__cole_depto_ubicacion_CUNDINAMARCA,0.1361642
nominal_low__cole_depto_ubicacion_BOGOTA,0.13271219
nominal_low__estu_depto_reside_BOYACA,0.12481316
nominal_low__cole_depto_ubicacion_VALLE,0.11779232
nominal_low__estu_depto_presentacion_ANTIOQUIA,0.109223045
nominal_low__estu_depto_reside_MAGDALENA,0.10653624
nominal_low__estu_depto_presentacion_NARIÑO,0.10080382
nominal_low__cole_genero_MASCULINO,0.09798685
nominal_low__cole_depto_ubicacion_ANTIOQUIA,0.09258896
nominal_low__estu_depto_reside_TOLIMA,0.08926468
nominal_low__cole_depto_ubicacion_MAGDALENA,0.084703825
nominal_low__estu_depto_presentacion_NORTE SANTANDER,0.08391188
nominal_low__cole_caracter_NO APLICA,0.0801295
nominal_low__cole_depto_ubicacion_ATLANTICO,0.077180505
nominal_low__cole_depto_ubicacion_BOYACA,0.075399786
nominal_low__cole_depto_ubicacion_CHOCO,0.07362552
nominal_low__estu_depto_reside_CHOCO,0.072691746
nominal_low__estu_depto_presentacion_CUNDINAMARCA,0.070811786
nominal_low__cole_calendario_OTRO,0.070663705
nominal_low__cole_depto_ubicacion_QUINDIO,0.0643067
nominal_low__cole_depto_ubicacion_NORTE SANTANDER,0.06305581
nominal_low__cole_depto_ubicacion_RISARALDA,0.06054312
nominal_low__cole_depto_ubicacion_TOLIMA,0.0595466
nominal_low__estu_depto_presentacion_VALLE,0.05887636
nominal_low__cole_depto_ubicacion_HUILA,0.058743764
nominal_low__cole_depto_ubicacion_CASANARE,0.05455193
nominal_low__estu_depto_presentacion_BOLIVAR,0.05342799
nominal_low__cole_depto_ubicacion_CAUCA,0.05295738
nominal_low__estu_depto_reside_NORTE SANTANDER,0.05229839
nominal_low__estu_depto_presentacion_TOLIMA,0.051030625
nominal_low__estu_depto_reside_VALLE,0.047894254
nominal_low__estu_depto_presentacion_CORDOBA,0.04675906
nominal_low__periodo_20151,0.043628316
nominal_low__cole_depto_ubicacion_BOGOTÁ,0.042073682
nominal_low__estu_depto_reside_CESAR,0.040067866
nominal_low__cole_depto_ubicacion_SUCRE,0.038761705
nominal_low__estu_depto_presentacion_PUTUMAYO,0.03692493
numeric__presenta_donde_reside_depto,0.03670621
nominal_low__estu_depto_presentacion_CALDAS,0.032404527
nominal_low__estu_depto_reside_HUILA,0.032328464
nominal_low__estu_depto_presentacion_CAUCA,0.03099542
nominal_low__estu_depto_reside_CORDOBA,0.03002038
nominal_low__cole_depto_ubicacion_ARAUCA,0.029586248
nominal_low__cole_depto_ubicacion_CESAR,0.029471595
nominal_low__estu_depto_presentacion_LA GUAJIRA,0.028971033
nominal_low__estu_depto_reside_SUCRE,0.028432015
nominal_low__periodo_20191,0.02791298
nominal_low__cole_depto_ubicacion_CAQUETA,0.026723756
nominal_low__estu_depto_presentacion_HUILA,0.026608666
numeric__padres_sin_educacion,0.026438888
nominal_low__estu_depto_reside_BOGOTÁ,0.026373563
nominal_low__estu_depto_presentacion_SUCRE,0.026053714
nominal_low__estu_depto_presentacion_CASANARE,0.025778998
nominal_low__cole_depto_ubicacion_META,0.024659371
nominal_low__cole_depto_ubicacion_CALDAS,0.024376977
nominal_low__cole_depto_ubicacion_PUTUMAYO,0.024183108
nominal_low__estu_depto_reside_QUINDIO,0.02393301
nominal_low__estu_depto_presentacion_CHOCO,0.023512574
nominal_low__periodo_20161,0.022802472
nominal_low__estu_depto_reside_CAUCA,0.021390896
nominal_low__periodo_20201,0.021059792
nominal_low__estu_depto_presentacion_META,0.0187438
nominal_low__estu_depto_presentacion_RISARALDA,0.017835757
nominal_low__cole_depto_ubicacion_CORDOBA,0.017764816
nominal_low__estu_depto_reside_PUTUMAYO,0.01619796
nominal_low__estu_depto_reside_CALDAS,0.016130267
nominal_low__estu_tipodocumento_CR,0.015401704
nominal_low__estu_depto_reside_CASANARE,0.014850189
nominal_low__estu_depto_reside_LA GUAJIRA,0.014797816
nominal_low__estu_depto_presentacion_QUINDIO,0.0139546
nominal_low__estu_depto_reside_ARAUCA,0.0137960445
nominal_low__estu_depto_reside_META,0.013421716
nominal_low__periodo_20211,0.012816482
nominal_low__estu_depto_presentacion_SAN ANDRES,0.012010768
nominal_low__periodo_20181,0.010413552
nominal_low__estu_depto_presentacion_ARAUCA,0.009823438
nominal_low__periodo_20171,0.009787533
nominal_low__estu_depto_reside_RISARALDA,0.009557156
nominal_low__estu_tipodocumento_CE,0.008858319
nominal_low__cole_depto_ubicacion_LA GUAJIRA,0.007980626
nominal_low__periodo_20221,0.007948157
nominal_low__estu_depto_reside_None,0.007910831
nominal_low__estu_tipodocumento_PEP,0.0069834944
nominal_low__estu_tipodocumento_NES,0.0067903902
nominal_low__estu_depto_reside_CAQUETA,0.0060909586
nominal_low__estu_depto_reside_SAN ANDRES,0.0055082184
nominal_low__estu_depto_reside_GUAINIA,0.0046875034
nominal_low__estu_depto_presentacion_CAQUETA,0.0042849933
nominal_low__estu_depto_presentacion_GUAVIARE,0.0029830802
nominal_low__estu_depto_presentacion_AMAZONAS,0.002885359
nominal_low__estu_depto_reside_VAUPES,0.0028392486
nominal_low__estu_depto_presentacion_VAUPES,0.0020571933
nominal_low__estu_depto_presentacion_GUAINIA,0.002035086
nominal_low__estu_tipodocumento_PPT,0.0017364859
nominal_low__estu_depto_reside_VICHADA,0.0016460743
nominal_low__cole_depto_ubicacion_VICHADA,0.0014714164
nominal_low__estu_depto_reside_AMAZONAS,0.0013658189
nominal_low__cole_depto_ubicacion_SAN ANDRES,0.001362269
nominal_low__estu_depto_reside_GUAVIARE,0.0012832292
nominal_low__cole_depto_ubicacion_GUAINIA,0.0011377127
nominal_low__cole_depto_ubicacion_AMAZONAS,0.0011271754
nominal_low__cole_depto_ubicacion_GUAVIARE,0.0010834667
nominal_low__cole_depto_ubicacion_VAUPES,0.0008631195
nominal_low__estu_depto_presentacion_VICHADA,0.00079782394
nominal_low__estu_tipodocumento_PE,0.0007891887
nominal_low__estu_depto_presentacion_None,0.0004347677
nominal_low__estu_tipodocumento_PC,0.0004225266
nominal_low__estu_depto_reside_EXTRANJERO,6.66995e-05
nominal_low__estu_tipodocumento_V,4.1048093e-05
nominal_low__estu_tipodocumento_RC,3.9078644e-05
nominal_low__estu_tipodocumento_CCB,0.0
nominal_low__estu_tipodocumento_PV,0.0
nominal_low__estu_tipodocumento_v,0.0
nominal_low__estu_tipodocumento_NIP,0.0
nominal_low__cole_genero_None,0.0
nominal_low__cole_area_ubicacion_None,0.0
nominal_low__cole_calendario_None,0.0
nominal_low__cole_jornada_None,0.0
nominal_low__cole_naturaleza_None,0.0
nominal_low__estu_tipodocumento_NUIP,0.0
nominal_low__estu_tipodocumento_NUI,0.0
nominal_low__estu_tipodocumento_PTP,0.0
nominal_low__cole_depto_ubicacion_None,0.0
